profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,1,True,177.0000,0.0000,229.2793,68.0,0.000000,68.000000,-32.000000,-32.000000,-52.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,69.0,0.000000,69.000000,-31.000000,-31.000000,-51.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,70.0,0.000000,70.000000,-30.000000,-30.000000,-50.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,71.0,0.000000,71.000000,-29.000000,-29.000000,-49.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,72.0,0.000000,72.000000,-28.000000,-28.000000,-48.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,73.0,0.000000,73.000000,-27.000000,-27.000000,-47.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,74.0,0.000000,74.000000,-26.000000,-26.000000,-46.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,75.0,0.000000,75.000000,-25.000000,-25.000000,-45.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,76.0,0.000000,76.000000,-24.000000,-24.000000,-44.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,77.0,0.000000,77.000000,-23.000000,-23.000000,-43.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,78.0,0.000000,78.000000,-22.000000,-22.000000,-42.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,79.0,0.000000,79.000000,-21.000000,-21.000000,-41.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,80.0,0.000000,80.000000,-20.000000,-20.000000,-40.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,81.0,0.000000,81.000000,-19.000000,-19.000000,-39.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,82.0,0.000000,82.000000,-18.000000,-18.000000,-38.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,83.0,0.000000,83.000000,-17.000000,-17.000000,-37.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,84.0,0.000000,84.000000,-16.000000,-16.000000,-36.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,85.0,0.000000,85.000000,-15.000000,-15.000000,-35.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,86.0,0.000000,86.000000,-14.000000,-14.000000,-34.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,87.0,0.000000,87.000000,-13.000000,-13.000000,-33.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,88.0,0.000000,88.000000,-12.000000,-12.000000,-32.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,89.0,0.000000,89.000000,-11.000000,-11.000000,-31.000000,-20.000000,True
