profile,ear,band,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,gain_db,output_level_db_spl
N1,left,2,297.0000,229.2793,385.3570,10.0,0.000000,10.000000
N1,left,2,297.0000,229.2793,385.3570,11.0,0.000000,11.000000
N1,left,2,297.0000,229.2793,385.3570,12.0,0.000000,12.000000
N1,left,2,297.0000,229.2793,385.3570,13.0,0.000000,13.000000
N1,left,2,297.0000,229.2793,385.3570,14.0,0.000000,14.000000
N1,left,2,297.0000,229.2793,385.3570,15.0,0.000000,15.000000
N1,left,2,297.0000,229.2793,385.3570,16.0,0.000000,16.000000
N1,left,2,297.0000,229.2793,385.3570,17.0,0.000000,17.000000
N1,left,2,297.0000,229.2793,385.3570,18.0,0.000000,18.000000
N1,left,2,297.0000,229.2793,385.3570,19.0,0.000000,19.000000
N1,left,2,297.0000,229.2793,385.3570,20.0,0.000000,20.000000
N1,left,2,297.0000,229.2793,385.3570,21.0,0.000000,21.000000
N1,left,2,297.0000,229.2793,385.3570,22.0,0.000000,22.000000
N1,left,2,297.0000,229.2793,385.3570,23.0,0.000000,23.000000
N1,left,2,297.0000,229.2793,385.3570,24.0,0.000000,24.000000
N1,left,2,297.0000,229.2793,385.3570,25.0,0.000000,25.000000
N1,left,2,297.0000,229.2793,385.3570,26.0,0.000000,26.000000
N1,left,2,297.0000,229.2793,385.3570,27.0,0.000000,27.000000
N1,left,2,297.0000,229.2793,385.3570,28.0,0.000000,28.000000
N1,left,2,297.0000,229.2793,385.3570,29.0,0.000000,29.000000
N1,left,2,297.0000,229.2793,385.3570,30.0,0.000000,30.000000
N1,left,2,297.0000,229.2793,385.3570,31.0,0.000000,31.000000
N1,left,2,297.0000,229.2793,385.3570,32.0,0.000000,32.000000
N1,left,2,297.0000,229.2793,385.3570,33.0,0.000000,33.000000
N1,left,2,297.0000,229.2793,385.3570,34.0,0.000000,34.000000
N1,left,2,297.0000,229.2793,385.3570,35.0,0.000000,35.000000
N1,left,2,297.0000,229.2793,385.3570,36.0,0.000000,36.000000
N1,left,2,297.0000,229.2793,385.3570,37.0,0.000000,37.000000
N1,left,2,297.0000,229.2793,385.3570,38.0,0.000000,38.000000
N1,left,2,297.0000,229.2793,385.3570,39.0,0.000000,39.000000
N1,left,2,297.0000,229.2793,385.3570,40.0,0.000000,40.000000
N1,left,2,297.0000,229.2793,385.3570,41.0,0.000000,41.000000
N1,left,2,297.0000,229.2793,385.3570,42.0,0.000000,42.000000
N1,left,2,297.0000,229.2793,385.3570,43.0,0.000000,43.000000
N1,left,2,297.0000,229.2793,385.3570,44.0,0.000000,44.000000
N1,left,2,297.0000,229.2793,385.3570,45.0,0.000000,45.000000
N1,left,2,297.0000,229.2793,385.3570,46.0,0.000000,46.000000
N1,left,2,297.0000,229.2793,385.3570,47.0,0.000000,47.000000
N1,left,2,297.0000,229.2793,385.3570,48.0,0.000000,48.000000
N1,left,2,297.0000,229.2793,385.3570,49.0,0.000000,49.000000
N1,left,2,297.0000,229.2793,385.3570,50.0,0.000000,50.000000
N1,left,2,297.0000,229.2793,385.3570,51.0,0.000000,51.000000
N1,left,2,297.0000,229.2793,385.3570,52.0,0.000000,52.000000
N1,left,2,297.0000,229.2793,385.3570,53.0,0.000000,53.000000
N1,left,2,297.0000,229.2793,385.3570,54.0,0.000000,54.000000
N1,left,2,297.0000,229.2793,385.3570,55.0,0.000000,55.000000
N1,left,2,297.0000,229.2793,385.3570,56.0,0.000000,56.000000
N1,left,2,297.0000,229.2793,385.3570,57.0,0.000000,57.000000
N1,left,2,297.0000,229.2793,385.3570,58.0,0.000000,58.000000
N1,left,2,297.0000,229.2793,385.3570,59.0,0.000000,59.000000
N1,left,2,297.0000,229.2793,385.3570,60.0,0.000000,60.000000
N1,left,2,297.0000,229.2793,385.3570,61.0,0.000000,61.000000
N1,left,2,297.0000,229.2793,385.3570,62.0,0.000000,62.000000
N1,left,2,297.0000,229.2793,385.3570,63.0,0.000000,63.000000
N1,left,2,297.0000,229.2793,385.3570,64.0,0.000000,64.000000
N1,left,2,297.0000,229.2793,385.3570,65.0,0.000000,65.000000
N1,left,2,297.0000,229.2793,385.3570,66.0,0.000000,66.000000
N1,left,2,297.0000,229.2793,385.3570,67.0,0.000000,67.000000
N1,left,2,297.0000,229.2793,385.3570,68.0,0.000000,68.000000
N1,left,2,297.0000,229.2793,385.3570,69.0,0.000000,69.000000
N1,left,2,297.0000,229.2793,385.3570,70.0,0.000000,70.000000
N1,left,2,297.0000,229.2793,385.3570,71.0,0.000000,71.000000
N1,left,2,297.0000,229.2793,385.3570,72.0,0.000000,72.000000
N1,left,2,297.0000,229.2793,385.3570,73.0,0.000000,73.000000
N1,left,2,297.0000,229.2793,385.3570,74.0,0.000000,74.000000
N1,left,2,297.0000,229.2793,385.3570,75.0,0.000000,75.000000
N1,left,2,297.0000,229.2793,385.3570,76.0,0.000000,76.000000
N1,left,2,297.0000,229.2793,385.3570,77.0,0.000000,77.000000
N1,left,2,297.0000,229.2793,385.3570,78.0,0.000000,78.000000
N1,left,2,297.0000,229.2793,385.3570,79.0,0.000000,79.000000
N1,left,2,297.0000,229.2793,385.3570,80.0,0.000000,80.000000
N1,left,2,297.0000,229.2793,385.3570,81.0,0.000000,81.000000
N1,left,2,297.0000,229.2793,385.3570,82.0,0.000000,82.000000
N1,left,2,297.0000,229.2793,385.3570,83.0,0.000000,83.000000
N1,left,2,297.0000,229.2793,385.3570,84.0,0.000000,84.000000
N1,left,2,297.0000,229.2793,385.3570,85.0,0.000000,85.000000
N1,left,2,297.0000,229.2793,385.3570,86.0,0.000000,86.000000
N1,left,2,297.0000,229.2793,385.3570,87.0,0.000000,87.000000
N1,left,2,297.0000,229.2793,385.3570,88.0,0.000000,88.000000
N1,left,2,297.0000,229.2793,385.3570,89.0,0.000000,89.000000
N1,left,2,297.0000,229.2793,385.3570,90.0,0.000000,90.000000
N1,left,2,297.0000,229.2793,385.3570,91.0,0.000000,91.000000
N1,left,2,297.0000,229.2793,385.3570,92.0,0.000000,92.000000
N1,left,2,297.0000,229.2793,385.3570,93.0,0.000000,93.000000
N1,left,2,297.0000,229.2793,385.3570,94.0,0.000000,94.000000
N1,left,2,297.0000,229.2793,385.3570,95.0,0.000000,95.000000
N1,left,2,297.0000,229.2793,385.3570,96.0,0.000000,96.000000
N1,left,2,297.0000,229.2793,385.3570,97.0,0.000000,97.000000
N1,left,2,297.0000,229.2793,385.3570,98.0,0.000000,98.000000
N1,left,2,297.0000,229.2793,385.3570,99.0,0.000000,99.000000
N1,left,2,297.0000,229.2793,385.3570,100.0,0.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,101.0,-1.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,102.0,-2.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,103.0,-3.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,104.0,-4.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,105.0,-5.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,106.0,-6.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,107.0,-7.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,108.0,-8.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,109.0,-9.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,110.0,-10.000000,100.000000
N1,left,3,500.0000,385.3570,648.4597,-10.0,0.000000,-10.000000
N1,left,3,500.0000,385.3570,648.4597,-9.0,0.000000,-9.000000
N1,left,3,500.0000,385.3570,648.4597,-8.0,0.000000,-8.000000
N1,left,3,500.0000,385.3570,648.4597,-7.0,0.000000,-7.000000
N1,left,3,500.0000,385.3570,648.4597,-6.0,0.000000,-6.000000
N1,left,3,500.0000,385.3570,648.4597,-5.0,0.000000,-5.000000
N1,left,3,500.0000,385.3570,648.4597,-4.0,0.000000,-4.000000
N1,left,3,500.0000,385.3570,648.4597,-3.0,0.000000,-3.000000
N1,left,3,500.0000,385.3570,648.4597,-2.0,0.000000,-2.000000
N1,left,3,500.0000,385.3570,648.4597,-1.0,0.000000,-1.000000
N1,left,3,500.0000,385.3570,648.4597,0.0,0.000000,0.000000
N1,left,3,500.0000,385.3570,648.4597,1.0,0.000000,1.000000
N1,left,3,500.0000,385.3570,648.4597,2.0,0.000000,2.000000
N1,left,3,500.0000,385.3570,648.4597,3.0,0.000000,3.000000
N1,left,3,500.0000,385.3570,648.4597,4.0,0.000000,4.000000
N1,left,3,500.0000,385.3570,648.4597,5.0,0.000000,5.000000
