profile,ear,band,active_prescription,point,centre_hz,input_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,camfit_gain_db,sigma_output_after_global_headroom_dbfs,maximum_interpolation_error_db,implementation_note
N2,left,2,True,2,297.0000,38.0,-62.000000,-57.199974,4.800026,-77.199974,0.006770160,enter x/y in compressor graph
N2,left,2,True,3,297.0000,59.0,-41.000000,-40.993061,0.006939,-60.993061,0.006770160,enter x/y in compressor graph
N2,left,2,True,4,297.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.006770160,enter x/y in compressor graph
N2,left,2,True,5,297.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.006770160,enter x/y in compressor graph
N2,left,3,True,1,500.0000,10.0,-90.000000,-88.063369,1.936631,-108.063369,0.000000000,enter x/y in compressor graph
N2,left,3,True,2,500.0000,36.0,-64.000000,-62.063369,1.936631,-82.063369,0.000000000,enter x/y in compressor graph
N2,left,3,True,3,500.0000,98.0,-2.000000,-0.923219,1.076781,-20.923219,0.000000000,enter x/y in compressor graph
N2,left,3,True,4,500.0000,99.0,-1.000000,0.000000,1.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,3,True,5,500.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,4,True,1,841.0000,10.0,-90.000000,-82.103641,7.896359,-102.103641,0.000000000,enter x/y in compressor graph
N2,left,4,True,2,841.0000,37.0,-63.000000,-55.103641,7.896359,-75.103641,0.000000000,enter x/y in compressor graph
N2,left,4,True,3,841.0000,92.0,-8.000000,-0.784452,7.215548,-20.784452,0.000000000,enter x/y in compressor graph
N2,left,4,True,4,841.0000,93.0,-7.000000,0.000000,7.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,4,True,5,841.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,5,True,1,1414.0000,10.0,-90.000000,-73.923221,16.076779,-93.923221,0.000000000,enter x/y in compressor graph
N2,left,5,True,2,1414.0000,32.0,-68.000000,-51.923221,16.076779,-71.923221,0.000000000,enter x/y in compressor graph
N2,left,5,True,3,1414.0000,93.0,-7.000000,-0.191877,6.808123,-20.191877,0.000000000,enter x/y in compressor graph
N2,left,5,True,4,1414.0000,94.0,-6.000000,0.000000,6.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,5,True,5,1414.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,6,True,1,2378.0000,10.0,-90.000000,-68.244769,21.755231,-88.244769,0.000000000,enter x/y in compressor graph
N2,left,6,True,2,2378.0000,26.0,-74.000000,-52.244769,21.755231,-72.244769,0.000000000,enter x/y in compressor graph
N2,left,6,True,3,2378.0000,89.0,-11.000000,-0.742401,10.257599,-20.742401,0.000000000,enter x/y in compressor graph
N2,left,6,True,4,2378.0000,90.0,-10.000000,0.000000,10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,6,True,5,2378.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N2,left,7,True,1,4000.0000,10.0,-90.000000,-61.826834,28.173166,-81.826834,0.000000000,enter x/y in compressor graph
N2,left,7,True,2,4000.0000,23.0,-77.000000,-48.826834,28.173166,-68.826834,0.000000000,enter x/y in compressor graph
N2,left,7,True,3,4000.0000,93.0,-7.000000,-0.489583,6.510417,-20.489583,0.000000000,enter x/y in compressor graph
N2,left,7,True,4,4000.0000,94.0,-6.000000,0.000000,6.000000,-20.000000,0.000000000,enter x/y in compressor graph
